Origin,country,lat,lon,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,pde_total_deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,url
1/22/1997 17:57,Turkey,36.199,35.902,46.1,5.7ÿ{\displaystyle M_{\mathrm {w} }},,0,0,1,,,
2/4/1997 10:37,Iran,37.724,57.305,15,6.5ÿ{\displaystyle M_{\mathrm {w} }},,100,100,100,100,,
2/27/1997 21:08,Pakistan (seeÿ1997 Harnai earthquake),29.979,68.165,34.9,7.1ÿ{\displaystyle M_{\mathrm {w} }},L,60,60,57,50,,
2/28/1997 12:57,Iran (seeÿ1997 Ardabil earthquake),38.108,48.069,9.7,6.1ÿ{\displaystyle M_{\mathrm {w} }},,1100,1100,1100,1100,,
3/1/1997 6:04,China,39.45,76.817,19.3,5.6ÿ{\displaystyle M_{\mathrm {w} }},,2,2,1,2,,
3/19/1997 19:57,Pakistan,34.79,71.523,15,4.9ÿ{\displaystyle m_{b}},,15,15,15,,,
4/5/1997 23:46,China,39.525,76.83,15,5.9ÿ{\displaystyle M_{\mathrm {w} }},,0,0,,9,,
4/11/1997 5:34,China,39.536,76.892,20,6.1ÿ{\displaystyle M_{\mathrm {w} }},,9,9,9,9,,
5/10/1997 7:57,Iran (seeÿ1997 Qayen earthquake),33.848,59.81,12.6,7.2ÿ{\displaystyle M_{\mathrm {w} }},L,1572,1572,1572,1568,,
5/13/1997 11:42,Iran,33.399,59.88,11.6,4.5ÿ{\displaystyle m_{b}},,1,1,1,,,
5/13/1997 14:13,Afghanistan,36.467,70.968,196,6.4ÿ{\displaystyle M_{\mathrm {w} }},,1,1,,,,
5/21/1997 22:51,India (seeÿ1997 Jabalpur earthquake),23.072,80.083,36,5.8ÿ{\displaystyle M_{\mathrm {w} }},,38,38,38,43,,
5/21/1997 23:50,Spain,42.83,-7.231,17.1,5.3ÿ{\displaystyle M_{\mathrm {w} }},,0,1,,,,
7/9/1997 19:24,(seeÿ1997 Cariaco earthquake),10.45,-63.532,10,6.9ÿ{\displaystyle M_{\mathrm {w} }},L,81,81,81,80,,
7/21/1997 8:45,South Africa,-26.857,26.619,5,5.0ÿ{\displaystyle m_{b}},,0,15,15,15,,
9/26/1997 9:40,Italy (seeÿ1997 Umbria and Marche earthquake),43.078,12.781,6,6.0ÿ{\displaystyle M_{\mathrm {w} }},,11,11,11,14,,
9/28/1997 1:38,Indonesia,-3.773,119.658,13,5.8ÿ{\displaystyle M_{\mathrm {w} }},,18,18,17,20,,
10/15/1997 1:03,Chile (seeÿ1997 Punitaqui earthquake),-30.878,-71.167,58,7.1ÿ{\displaystyle M_{\mathrm {w} }},L,7,8,8,8,,
11/6/1997 2:34,Canada,46.771,-71.387,22.5,5.1 Lg,,0,1,1,,,
11/21/1997 11:23,India (seeÿ1997 Chittagong earthquake),22.26,92.715,54,6.1ÿ{\displaystyle M_{\mathrm {w} }},,23,23,23,23,,
1/10/1998 3:50,China,41.137,114.523,5,5.7ÿ{\displaystyle M_{\mathrm {w} }},F,70,70,49,49,,
1/30/1998 12:16,Chile,-23.85,-70.147,42,7.0ÿ{\displaystyle M_{\mathrm {w} }},,0,1,,,,
2/4/1998 14:33,Afghanistan (seeÿFebruary 1998 Afghanistan earthquake),37.08,70.004,17.6,5.9ÿ{\displaystyle M_{\mathrm {w} }},L,2323,2323,2323,2323,,
2/20/1998 12:18,Afghanistan,36.479,71.074,236,6.3ÿ{\displaystyle M_{\mathrm {w} }},L,1,1,1,1,,
3/14/1998 19:40,Iran,30.126,57.585,13.8,6.6ÿ{\displaystyle M_{\mathrm {w} }},,5,5,5,5,,
3/26/1998 16:26,Italy,43.224,12.919,10,5.4ÿ{\displaystyle M_{\mathrm {w} }},,0,1,,,,
4/10/1998 15:00,Iran,32.447,60.063,7,5.7ÿ{\displaystyle M_{\mathrm {w} }},,12,12,12,,,
4/12/1998 10:55,Slovenia,46.271,13.653,7.5,5.6ÿ{\displaystyle M_{\mathrm {w} }},L,0,1,,0,,
5/22/1998 4:48,Bolivia,-17.783,-65.401,24,6.6ÿ{\displaystyle M_{\mathrm {w} }},,105,105,105,95,,
5/30/1998 6:22,Afghanistan (seeÿMay 1998 Afghanistan earthquake),37.185,70.075,35.5,6.5ÿ{\displaystyle M_{\mathrm {w} }},L,4000,4000,4000,4700,,
6/27/1998 13:55,Turkey (seeÿ1998 Adana?Ceyhan earthquake),36.903,35.325,16,6.3ÿ{\displaystyle M_{\mathrm {w} }},,145,145,145,,,
7/9/1998 5:19,Portugal,38.621,-28.566,9,6.1ÿ{\displaystyle M_{\mathrm {w} }},,10,10,10,10,,
7/9/1998 14:19,Azerbaijan,38.726,48.525,29,5.9ÿ{\displaystyle M_{\mathrm {w} }},,,,,1,,
7/17/1998 4:51,Taiwan,23.503,120.711,11,5.7ÿ{\displaystyle M_{\mathrm {w} }},L,5,5,5,,,
7/17/1998 8:49,Papua New Guinea (seeÿ1998 Papua New Guinea earthquake),-2.946,142.52,23,7.0ÿ{\displaystyle M_{\mathrm {w} }},T,0,2683,2700,,,
7/29/1998 7:14,Chile,-32.327,-71.244,51,6.4ÿ{\displaystyle M_{\mathrm {w} }},L,0,2,,,,
8/4/1998 18:59,Ecuador (seeÿ1998 Bah¡a de Car quez earthquake),-0.594,-80.313,20,7.1ÿ{\displaystyle M_{\mathrm {w} }},L,3,3,3,3,,
8/27/1998 9:03,China,39.572,77.298,28,6.3ÿ{\displaystyle M_{\mathrm {w} }},,3,3,3,,,
9/9/1998 11:27,Italy,40,15.975,10,5.6ÿ{\displaystyle M_{\mathrm {w} }},,1,2,1,,,
